name_canonical,name_variants,type,lat,lng,province_rvn,province_modern,source_url,confidence,notes
"Sơn Hải, Bắc Ninh","Hộ Đáp|Ho Dap|Sơn Hải, Bắc Giang|Son Hai, Bac Ninh",town,11.41667,109.00000,,,https://en.wikipedia.org/wiki/S%C6%A1n_H%E1%BA%A3i%2C_B%E1%BA%AFc_Ninh,medium,from: town
Sông Bé Base Camp,Song Be Base Camp,camp,11.81900,106.96100,,Bình Phước,https://en.wikipedia.org/wiki/S%C3%B4ng_B%C3%A9_Base_Camp,medium,from: army; coord via Wikidata P625
Sông Cầu,Sông Cầu District|Song Cau Town|Sông Cầu Town|Song Cau|Sông Cầu district|Phường Sông Cầu|Sông Cầu district-level town,town,13.55000,109.20000,,Phú Yên,https://en.wikipedia.org/wiki/S%C3%B4ng_C%E1%BA%A7u,medium,from: town
Tam Kỳ,Tam Ky City|Tam-Ky|Tam Ky|Tam Kỳ provincial city,city,15.56667,108.48333,,Quảng Nam,https://en.wikipedia.org/wiki/Tam_K%E1%BB%B3,medium,from: city
Tam Quan,,town,14.54861,109.04167,,Bình Định,https://en.wikipedia.org/wiki/Tam_Quan,medium,from: town
Tân An,"Tan An Town|Tan An, Long An|Tan An|History of Tân An, Long An|Tân An, Long An|Tân An, Long An Province|Tân An provincial city",city,10.53333,106.41667,,Long An,https://en.wikipedia.org/wiki/T%C3%A2n_An,medium,from: city+town
Tân Châu (town),"Tan Chau District, An Giang|Tân Châu District, An Giang|Tân Châu town, An Giang|Tân Châu district-level town|Tân Châu, Mekong Delta|Tân Châu (town), An Giang|Tan Chau (town)",town,10.77389,105.23694,,An Giang,https://en.wikipedia.org/wiki/T%C3%A2n_Ch%C3%A2u_(town),medium,from: town
Tân Dĩnh,Thái Đào|Đại Lâm|Dai Lam|Thai Dao|Tan Dinh,town,16.80000,106.98333,,Quảng Trị,https://en.wikipedia.org/wiki/T%C3%A2n_D%C4%A9nh,medium,from: town
Tan Son Nhut Air Base,Tan Son Nhut AB|Tân Sơn Nhứt Air Base|Ton Son Nuht AB|Tan Son Nhat Air Base|Davis Station (Tan Son Nhut),airbase,10.81889,106.65194,,Ho Chi Minh,https://en.wikipedia.org/wiki/Tan_Son_Nhut_Air_Base,medium,from: usaf; coord via Wikidata P625
"Tánh Linh, Lâm Đồng","Tánh Linh|Lạc Tánh|Tanh Linh, Lam Dong",town,11.08333,107.68167,,Bình Thuận,https://en.wikipedia.org/wiki/T%C3%A1nh_Linh%2C_L%C3%A2m_%C4%90%E1%BB%93ng,medium,from: town
Tay Loc Airfield,Tây Lộc Airfield,airbase,16.47444,107.57306,,Thừa Thiên Huế,https://en.wikipedia.org/wiki/Tay_Loc_Airfield,medium,from: usaf; coord via Wikidata P625
Tây Nha Trang,"Phương Sơn, Nha Trang|Phương Sài|Ngọc Hiệp|Vĩnh Thạnh, Nha Trang|Vĩnh Trung, Nha Trang|Vĩnh Hiệp, Nha Trang|Vĩnh Ngọc, Nha Trang|Tay Nha Trang",town,12.27611,109.16500,,Khánh Hòa,https://en.wikipedia.org/wiki/T%C3%A2y_Nha_Trang,medium,from: town
Tây Ninh (city),Tay Ninh City|Tây Ninh provincial city|Tay Ninh (city),city,11.36778,106.11889,,Tây Ninh,https://en.wikipedia.org/wiki/T%C3%A2y_Ninh_(city),medium,from: city+town
"Tây Sơn, Gia Lai","Phú Phong, Bình Định|Tay Son, Gia Lai",town,13.90938,108.91861,,Bình Định,https://en.wikipedia.org/wiki/T%C3%A2y_S%C6%A1n%2C_Gia_Lai,medium,from: town; coord via Wikidata P625
The Rockpile,,marine_base,16.78050,106.85200,,Quảng Trị,https://en.wikipedia.org/wiki/The_Rockpile,medium,from: marine; coord via Wikidata P625
Thổ Châu Island,Tho Chu island|Tho Chu Island|Thổ Chu Island|Tho Chau Island,town,9.30000,103.48333,,,https://en.wikipedia.org/wiki/Th%E1%BB%95_Ch%C3%A2u_Island,medium,from: town
Thổ Châu islands,Poulo Panjang|Thổ Chau|Tho Chu Islands|Thổ Châu district|Thổ Chu Islands|Thổ Châu Islands|Thổ Châu special administrative region|Tho Chau islands,town,9.30000,103.48333,,,https://en.wikipedia.org/wiki/Th%E1%BB%95_Ch%C3%A2u_islands,medium,from: town
Thủ Dầu Một,Thu Dao Mot|Thudaumot|Thu Dau Mot|Thudâumôt|Thu Dau Mot City|Thủ Dầu Một provincial city,city,10.96667,106.65000,,Bình Dương,https://en.wikipedia.org/wiki/Th%E1%BB%A7_D%E1%BA%A7u_M%E1%BB%99t,medium,from: city
Tịnh Biên,Tinh Bien|Tinh Bien District|Tịnh Biên District|Tịnh Biên district|An Hảo|Tịnh Biên district-level town|Tịnh Biên (district-level town),town,10.58300,105.00000,,An Giang,https://en.wikipedia.org/wiki/T%E1%BB%8Bnh_Bi%C3%AAn,medium,from: town
Trảng Bàng,Trảng Bàng District|Trang Bang|Trang Bang District|Trảng Bàng district-level town,town,11.03300,106.36700,,Tây Ninh,https://en.wikipedia.org/wiki/Tr%E1%BA%A3ng_B%C3%A0ng,medium,from: town
"Tuy Đức, Lâm Đồng","Tuy Đức|Đắk Buk So|Tuy Duc, Lam Dong",town,12.21361,107.46583,,Đắk Nông,https://en.wikipedia.org/wiki/Tuy_%C4%90%E1%BB%A9c%2C_L%C3%A2m_%C4%90%E1%BB%93ng,medium,from: town
Tuy Hòa,"Tuy Hoa Province|Tuy Hoa|Tuy Hoà|Phường Tuy Hòa|Tuy Hòa provincial city|Tuy Hòa, Phú Yên",city,13.08687,109.30859,,Phú Yên,https://en.wikipedia.org/wiki/Tuy_H%C3%B2a,medium,from: city; coord via Wikidata P625
Tuy Hoa Air Base,,airbase,13.04944,109.33361,,Phú Yên,https://en.wikipedia.org/wiki/Tuy_Hoa_Air_Base,medium,from: usaf
Tuy Hòa Base Camp,Tuy Hoa Base Camp,camp,12.98500,109.37972,,Phú Yên,https://en.wikipedia.org/wiki/Tuy_H%C3%B2a_Base_Camp,medium,from: army
Tuy Phước,Tuy Phuoc|Diêu Trì|Dieu Tri,town,13.82778,109.16583,,Bình Định,https://en.wikipedia.org/wiki/Tuy_Ph%C6%B0%E1%BB%9Bc,medium,from: town
"Vân Canh, Gia Lai","Vân Canh, Bình Định|Van Canh, Gia Lai",town,13.62667,108.99556,,Bình Định,https://en.wikipedia.org/wiki/V%C3%A2n_Canh%2C_Gia_Lai,medium,from: town
Vị Thanh (city),"Vị-Thanh|Long-My|Vi Thanh city|Vị Thanh city|Vị Thanh provincial city|Vi Thanh City|Vị Thanh, Hậu Giang|Vi Thanh (city)",city,9.78333,105.46667,,Hậu Giang,https://en.wikipedia.org/wiki/V%E1%BB%8B_Thanh_(city),medium,from: city
Vĩnh Long (city),Vinh Long City|Vĩnh Long provincial city|Vinh Long (city),city,10.25000,105.96667,,Vĩnh Long,https://en.wikipedia.org/wiki/V%C4%A9nh_Long_(city),medium,from: city
"Vĩnh Thạnh, Gia Lai","Vĩnh Thạnh, Bình Định|Vinh Thanh, Gia Lai",town,14.10611,108.78306,,Bình Định,https://en.wikipedia.org/wiki/V%C4%A9nh_Th%E1%BA%A1nh%2C_Gia_Lai,medium,from: town
Vũng Rô Bay,Vung Ro Bay|Port Lane|Vịnh Vũng Rô,other,12.86667,109.43333,,,https://en.wikipedia.org/wiki/V%C5%A9ng_R%C3%B4_Bay,medium,from: 
Vung Tau Air Base,,airbase,10.37028,107.09333,,Bà Rịa–Vũng Tàu,https://en.wikipedia.org/wiki/Vung_Tau_Air_Base,medium,from: army; coord via Wikidata P625
Xuân Hương – Đà Lạt,"Ward 1, Da Lat|Xuân Hương - Đà Lạt|Xuan Huong – Da Lat",town,11.95225,108.44186,,Lâm Đồng,https://en.wikipedia.org/wiki/Xu%C3%A2n_H%C6%B0%C6%A1ng_%E2%80%93_%C4%90%C3%A0_L%E1%BA%A1t,medium,from: town; coord via Wikidata P625
Xuân Lộc Base Camp,Xuan Loc Base Camp,camp,10.92139,107.25556,,Đồng Nai,https://en.wikipedia.org/wiki/Xu%C3%A2n_L%E1%BB%99c_Base_Camp,medium,from: army
